"OPCOES_MUN"
"3435101 - Palmares Paulista"
"3435200 - Palmeira d'Oeste"
"3435309 - Palmital"
"3435408 - Panorama"
"3435507 - Paraguaçu Paulista"
"3435606 - Paraibuna"
"3435804 - Paranapanema"
"3435903 - Paranapuã"
"3436000 - Parapuã"
"3435705 - Paraíso"
"3436109 - Pardinho"
"3436208 - Pariquera-Açu"
"3436257 - Parisi"
"3436307 - Patrocínio Paulista"
"3436406 - Paulicéia"
"3436570 - Paulistânia"
"3436604 - Paulo de Faria"
"3436505 - Paulínia"
"3436703 - Pederneiras"
"3436802 - Pedra Bela"
"3436901 - Pedranópolis"
"3437008 - Pedregulho"
"3437107 - Pedreira"
"3437156 - Pedrinhas Paulista"
"3437206 - Pedro de Toledo"
"3437305 - Penápolis"
"3437404 - Pereira Barreto"
"3437503 - Pereiras"
"3437602 - Peruíbe"
"3437701 - Piacatu"
"3437800 - Piedade"
"3437909 - Pilar do Sul"
"3438006 - Pindamonhangaba"
"3438105 - Pindorama"
"3438204 - Pinhalzinho"
"3438303 - Piquerobi"
"3438501 - Piquete"
"3438600 - Piracaia"
"3438709 - Piracicaba"
"3438808 - Piraju"
"3438907 - Pirajuí"
"3439004 - Pirangi"
"3439103 - Pirapora do Bom Jesus"
"3439202 - Pirapozinho"
"3439301 - Pirassununga"
"3439400 - Piratininga"
"3439509 - Pitangueiras"
"3439608 - Planalto"
"3439707 - Platina"
"3439905 - Poloni"
"3440002 - Pompéia"
"3440101 - Pongaí"
"3440200 - Pontal"
"3440259 - Pontalinda"
"3440309 - Pontes Gestal"
"3440408 - Populina"
"3440507 - Porangaba"
"3440606 - Porto Feliz"
"3440705 - Porto Ferreira"
"3440754 - Potim"
"3440804 - Potirendaba"
"3439806 - Poá"
"3440853 - Pracinha"
"3440903 - Pradópolis"
"3441000 - Praia Grande"
"3441059 - Pratânia"
"3441109 - Presidente Alves"
"3441208 - Presidente Bernardes"
"3441307 - Presidente Epitácio"
"3441406 - Presidente Prudente"
"3441505 - Presidente Venceslau"
"3441604 - Promissão"
"3441653 - Quadra"
"3441703 - Quatá"
"3441802 - Queiroz"
"3441901 - Queluz"
"3442008 - Quintana"
"3442107 - Rafard"
"3442206 - Rancharia"
"3442305 - Redenção da Serra"
"3442404 - Regente Feijó"
"3442503 - Reginópolis"
"3442602 - Registro"
"3442701 - Restinga"
"3442800 - Ribeira"
"3442909 - Ribeirão Bonito"
"3443006 - Ribeirão Branco"
"3443105 - Ribeirão Corrente"
"3443253 - Ribeirão Grande"
"3443303 - Ribeirão Pires"
"3443402 - Ribeirão Preto"
"3443204 - Ribeirão do Sul"
"3443238 - Ribeirão dos Índios"
"3443600 - Rifaina"
"3443709 - Rincão"
"3443808 - Rinópolis"
"3443907 - Rio Claro"
"3444103 - Rio Grande da Serra"
"3444004 - Rio das Pedras"
"3444202 - Riolândia"
"3443501 - Riversul"
"3444251 - Rosana"
"3444301 - Roseira"
"3444509 - Rubinéia"
"3444400 - Rubiácea"
"3444608 - Sabino"
"3444707 - Sagres"
"3444806 - Sales"
"3444905 - Sales Oliveira"
"3445001 - Salesópolis"
"3445100 - Salmourão"
"3445159 - Saltinho"
"3445209 - Salto"
"3445407 - Salto Grande"
"3445308 - Salto de Pirapora"
"3445506 - Sandovalina"
"3445605 - Santa Adélia"
"3445704 - Santa Albertina"
"3446009 - Santa Branca"
"3445803 - Santa Bárbara d'Oeste"
"3446108 - Santa Clara d'Oeste"
"3446207 - Santa Cruz da Conceição"
"3446256 - Santa Cruz da Esperança"
"3446306 - Santa Cruz das Palmeiras"
"3446405 - Santa Cruz do Rio Pardo"
"3446504 - Santa Ernestina"
"3446603 - Santa Fé do Sul"
"3446702 - Santa Gertrudes"
"3446801 - Santa Isabel"
"3446900 - Santa Lúcia"
"3447007 - Santa Maria da Serra"
"3447106 - Santa Mercedes"
"3447403 - Santa Rita d'Oeste"
"3447502 - Santa Rita do Passa Quatro"
"3447601 - Santa Rosa de Viterbo"
"3447650 - Santa Salete"
"3447205 - Santana da Ponte Pensa"
"3447304 - Santana de Parnaíba"
"3447700 - Santo Anastácio"
"3447809 - Santo André"
"3447908 - Santo Antônio da Alegria"
"3448005 - Santo Antônio de Posse"
"3448054 - Santo Antônio do Aracanguá"
"3448104 - Santo Antônio do Jardim"
"3448203 - Santo Antônio do Pinhal"
"3448302 - Santo Expedito"
"3448500 - Santos"
"3448401 - Santópolis do Aguapeí"
"3451108 - Sarapuí"
"3451207 - Sarutaiá"
"3451306 - Sebastianópolis do Sul"
"3451405 - Serra Azul"
"3451603 - Serra Negra"
"3451504 - Serrana"
"3451702 - Sertãozinho"
"3451801 - Sete Barras"
"3451900 - Severínia"
"3452007 - Silveiras"
"3452106 - Socorro"
"3452205 - Sorocaba"
"3452304 - Sud Mennucci"
"3452403 - Sumaré"
"3452502 - Suzano"
"3452551 - Suzanápolis"
"3448609 - São Bento do Sapucaí"
"3448708 - São Bernardo do Campo"
"3448807 - São Caetano do Sul"
"3448906 - São Carlos"
"3449003 - São Francisco"
"3449409 - São Joaquim da Barra"
"3449508 - São José da Bela Vista"
"3449607 - São José do Barreiro"
"3449706 - São José do Rio Pardo"
"3449805 - São José do Rio Preto"
"3449904 - São José dos Campos"
"3449102 - São João da Boa Vista"
"3449201 - São João das Duas Pontes"
"3449250 - São João de Iracema"
"3449300 - São João do Pau d'Alho"
"3449953 - São Lourenço da Serra"
"3450001 - São Luís do Paraitinga"
"3450100 - São Manuel"
"3450209 - São Miguel Arcanjo"
"3450308 - São Paulo"
"3450407 - São Pedro"
"3450506 - São Pedro do Turvo"
"3450605 - São Roque"
"3450704 - São Sebastião"
"3450803 - São Sebastião da Grama"
"3450902 - São Simão"
"3451009 - São Vicente"
"3452601 - Tabapuã"
"3452700 - Tabatinga"
"3452809 - Taboão da Serra"
"3452908 - Taciba"
"3453005 - Taguaí"
"3453104 - Taiaçu"
"3453203 - Taiúva"
"3453302 - Tambaú"
